Chá do Matias ;;;;;;;;;;;;;;;;;;;;;;;;;
"

Queridos familiares e amigos,

Preparamos esta lista com muito carinho para ajudar na organização do enxoval do Matias.

Para quem quiser presenteá-lo, reunimos abaixo algumas sugestões de itens que ainda não temos e que serão muito
úteis para a chegada dele. Ao escolher um presente, pedimos que escreva o seu nome ao lado do item escolhido,
 assim conseguimos evitar presentes repetidos.

Os links disponíveis servem apenas como referência. Não é necessário comprar na loja indicada. 
Pedimos apenas que, sempre que possível, a marca sugerida seja mantida, pois cada item foi escolhido com carinho e cuidado.

Também optamos por utilizar fraldas ecológicas a partir dos dois meses do Matias. 
Como ainda iremos adquirir esse enxoval, quem preferir pode contribuir com essa parte por meio de PIX.

Mas, acima de tudo, sintam-se à vontade! A presença, o carinho e a alegria de vocês em celebrar a chegada 
do Matias conosco são o que realmente importa. A lista é apenas uma forma de facilitar para quem desejar 
nos presentear, e qualquer demonstração de carinho será recebida com muito amor. 🤍

Obrigada por fazerem parte deste momento tão especial. Estamos muito felizes por compartilhar a espera do Matias com vocês!";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Mochila Maternidade;;cinza;;https://s.shopee.com.br/2BF78iNZlH;;;;;;;;;;;;;;;;;;;;;
Trocador Portátil ;;tanto faz marca;;https://s.shopee.com.br/BU2l9wxBA;;;;;;;;;;;;;;;;;;;;;
Tapete de atividades ;;tanto faz marca;;https://s.shopee.com.br/6L4g6mxDAj;;;;;;;;;;;;;;;;;;;;;
babá eletronica ;;;;https://s.shopee.com.br/5AsiuNbkt6;;;;;;;;;;;;;;;;;;;;;
Lençol de berço ;;tanto faz a marca ;;;;;;;;;;;;;;;;;;;;;;;
Potes de armazenamento de leite ;;tanto faz marca;;https://s.shopee.com.br/1gIqjqeRRE;;;;;;;;;;;;;;;;;;;;;
Organizadores de gaveta ;;tanto faz marca;;https://s.shopee.com.br/9fL84hPNGZ;;;;;;;;;;;;;;;;;;;;;
Colmeias de organização ;;tanto faz marca;;https://s.shopee.com.br/2qUnw6UCIh;;;;;;;;;;;;;;;;;;;;;
cabides de bebe ;;tanto faz marca;;https://s.shopee.com.br/1gIqY2jomq;;;;;;;;;;;;;;;;;;;;;
Cesto de roupa suja ;;tanto faz marca;;https://s.shopee.com.br/1AcYRq9na;;;;;;;;;;;;;;;;;;;;;
